iter	Passed	Remaining
0	172	86103
1	191	47666
2	212	35198
3	233	28954
4	253	25080
5	275	22715
6	294	20743
7	314	19337
8	335	18286
9	351	17224
10	371	16508
11	390	15883
12	410	15370
13	428	14869
14	446	14451
15	457	13836
16	473	13447
17	491	13153
18	507	12857
19	525	12616
20	544	12412
21	562	12226
22	583	12099
23	593	11775
24	605	11500
25	624	11390
26	631	11068
27	648	10933
28	668	10851
29	687	10763
30	703	10649
31	714	10444
32	734	10390
33	751	10295
34	763	10147
35	783	10098
36	793	9932
37	808	9831
38	827	9781
39	844	9714
40	867	9713
41	888	9693
42	906	9634
43	920	9540
44	938	9492
45	956	9436
46	975	9405
47	995	9377
48	1016	9353
49	1026	9239
50	1038	9147
51	1045	9009
52	1066	8993
53	1084	8955
54	1103	8928
55	1122	8896
56	1142	8882
57	1155	8803
58	1174	8780
59	1184	8687
60	1205	8676
61	1225	8656
62	1243	8627
63	1263	8605
64	1284	8593
65	1301	8560
66	1311	8473
67	1329	8447
68	1347	8419
69	1365	8385
70	1384	8363
71	1397	8308
72	1419	8300
73	1428	8224
74	1445	8193
75	1466	8179
76	1485	8159
77	1503	8132
78	1522	8112
79	1542	8097
80	1554	8040
81	1575	8032
82	1604	8063
83	1625	8048
84	1637	7996
85	1656	7974
86	1674	7949
87	1692	7923
88	1713	7914
89	1732	7893
90	1750	7866
91	1768	7843
92	1788	7826
93	1806	7800
94	1826	7784
95	1843	7758
96	1862	7738
97	1879	7710
98	1897	7685
99	1909	7636
100	1928	7618
101	1944	7586
102	1964	7571
103	1982	7548
104	1989	7486
105	1997	7423
106	2011	7386
107	2022	7339
108	2039	7316
109	2059	7303
110	2078	7283
111	2097	7266
112	2117	7251
113	2138	7240
114	2160	7233
115	2168	7178
116	2175	7122
117	2189	7086
118	2209	7072
119	2227	7053
120	2246	7037
121	2266	7021
122	2275	6974
123	2293	6953
124	2313	6941
125	2319	6883
126	2337	6864
127	2344	6813
128	2356	6776
129	2376	6763
130	2390	6732
131	2407	6711
132	2418	6673
133	2436	6655
134	2456	6640
135	2474	6622
136	2493	6607
137	2513	6593
138	2532	6578
139	2551	6560
140	2561	6520
141	2580	6505
142	2599	6490
143	2610	6452
144	2620	6414
145	2642	6407
146	2662	6393
147	2680	6375
148	2698	6357
149	2717	6341
150	2725	6299
151	2745	6284
152	2765	6271
153	2783	6253
154	2801	6235
155	2825	6230
156	2845	6215
157	2862	6196
158	2880	6177
159	2898	6159
160	2907	6121
161	2926	6106
162	2939	6077
163	2957	6060
164	2977	6044
165	2996	6029
166	3016	6015
167	3026	5980
168	3046	5966
169	3065	5950
170	3083	5933
171	3104	5920
172	3124	5905
173	3142	5886
174	3162	5873
175	3181	5857
176	3199	5839
177	3218	5821
178	3235	5801
179	3255	5787
180	3273	5769
181	3291	5750
182	3313	5739
183	3331	5722
184	3350	5704
185	3369	5688
186	3388	5671
187	3407	5655
188	3425	5636
189	3446	5622
190	3463	5603
191	3481	5584
192	3501	5570
193	3523	5556
194	3541	5538
195	3560	5522
196	3578	5504
197	3597	5487
198	3617	5471
199	3637	5456
200	3656	5438
201	3675	5421
202	3693	5403
203	3713	5388
204	3732	5370
205	3753	5357
206	3772	5340
207	3792	5323
208	3811	5307
209	3829	5287
210	3847	5269
211	3865	5251
212	3883	5233
213	3910	5226
214	3928	5208
215	3948	5191
216	3966	5172
217	3985	5155
218	4004	5138
219	4023	5120
220	4043	5104
221	4061	5085
222	4079	5067
223	4101	5054
224	4120	5036
225	4137	5016
226	4158	5001
227	4179	4985
228	4198	4968
229	4216	4949
230	4235	4932
231	4253	4913
232	4271	4894
233	4289	4875
234	4311	4861
235	4329	4843
236	4348	4825
237	4369	4810
238	4390	4794
239	4410	4778
240	4430	4761
241	4451	4745
242	4471	4729
243	4492	4713
244	4513	4698
245	4533	4680
246	4555	4666
247	4574	4648
248	4596	4633
249	4616	4616
250	4635	4598
251	4654	4581
252	4674	4563
253	4696	4548
254	4723	4538
255	4748	4525
256	4770	4510
257	4794	4496
258	4817	4482
259	4838	4465
260	4859	4450
261	4881	4433
262	4904	4419
263	4925	4402
